iter	Logloss
0	0.6529849468
1	0.619202058
2	0.5843780304
3	0.5548782217
4	0.5228092985
5	0.4999125132
6	0.476374034
7	0.4550275627
8	0.4335561511
9	0.4139042891
10	0.3934311948
11	0.3766179774
12	0.3584659629
13	0.3455159983
14	0.3323408235
15	0.3193050416
16	0.3105382211
17	0.3016523321
18	0.2885435756
19	0.2801035163
20	0.2706648325
21	0.2635014758
22	0.2555878776
23	0.2477835406
24	0.2403817986
25	0.2363927114
26	0.2317618062
27	0.2277374089
28	0.2224206113
29	0.2161135066
30	0.2122559931
31	0.2081338042
32	0.2043989862
33	0.2006501625
34	0.1976912609
35	0.1944335768
36	0.1903242754
37	0.1872239022
38	0.1842521489
39	0.1820694772
40	0.1795282382
41	0.1773717967
42	0.175197317
43	0.1727444297
44	0.1703941479
45	0.1687819036
46	0.1669985655
47	0.1652800241
48	0.163905152
49	0.1624310302
50	0.1609200783
51	0.1592747982
52	0.1577140175
53	0.1557605955
54	0.1538713046
55	0.1528254228
56	0.1510609591
57	0.1495934093
58	0.1483862147
59	0.1472745259
60	0.1460987103
61	0.1447831003
62	0.1435055793
63	0.1428608911
64	0.1419604985
65	0.1410027155
66	0.1402354391
67	0.139288368
68	0.1384342442
69	0.1372632566
70	0.1365784442
71	0.1352461473
72	0.1345597277
73	0.1337863493
74	0.1332273527
75	0.1323156191
76	0.1315661275
77	0.1307242046
78	0.1298677189
79	0.1294066984
80	0.1287814275
81	0.1282565828
82	0.1271275417
83	0.1261403748
84	0.1254317962
85	0.1247860022
86	0.1242633579
87	0.1235515708
88	0.1230889836
89	0.1226003685
90	0.1219640707
91	0.121374127
92	0.1205901807
93	0.1200235785
94	0.119532203
95	0.1189351692
96	0.1183996653
97	0.1179447414
98	0.1175147998
99	0.1168336662
100	0.1162304293
101	0.1158772288
102	0.1154746006
103	0.1149441951
104	0.1145630122
105	0.1140028667
106	0.1134786523
107	0.1129729141
108	0.1123930596
109	0.1118087653
110	0.1113386137
111	0.11072844
112	0.1102489592
113	0.1098137742
114	0.1091352248
115	0.1086967995
116	0.1082785935
117	0.1079340643
118	0.1076798049
119	0.1072391281
120	0.1068706015
121	0.1064598662
122	0.1058887458
123	0.10545264
124	0.105102055
125	0.1047362286
126	0.1043170887
127	0.1039885453
128	0.1036416654
129	0.1033633907
130	0.103010178
131	0.1028027352
132	0.102520078
133	0.1021462853
134	0.1018320477
135	0.1014544634
136	0.1010806681
137	0.1007531428
138	0.1002791127
139	0.09978519313
140	0.09949979558
141	0.09918688401
142	0.098918312
143	0.09862709268
144	0.09825345922
145	0.09804231487
146	0.09784214234
147	0.09745675219
148	0.097210066
149	0.09688288599
150	0.09662392601
151	0.09615844075
152	0.09582306262
153	0.09551681926
154	0.09520873665
155	0.09492603125
156	0.09468352678
157	0.09431455967
158	0.09394022513
159	0.09365812944
160	0.09343759844
161	0.09310970975
162	0.0927236746
163	0.09252566397
164	0.09231295723
165	0.09214933263
166	0.09182770046
167	0.09156805841
168	0.09126229407
169	0.0910443904
170	0.09072361284
171	0.09040741751
172	0.09013222946
173	0.08990727957
174	0.08963536709
175	0.08931384195
176	0.0891057411
177	0.08877133515
178	0.08853527829
179	0.08826437987
180	0.08791126291
181	0.08771489204
182	0.08734763778
183	0.08715820405
184	0.08696986009
185	0.0867228452
186	0.08658087359
187	0.08630656855
188	0.08608624256
189	0.08583956013
190	0.08555354616
191	0.08523042706
192	0.08500331237
193	0.08482075457
194	0.08465481588
195	0.0844690585
196	0.08426674049
197	0.08398019243
198	0.08372715957
199	0.08345975905
200	0.08325161163
201	0.08288301277
202	0.08248391027
203	0.08231085445
204	0.08215738186
205	0.08187061931
206	0.081676806
207	0.0814368619
208	0.08125715325
209	0.08094788727
210	0.08079740917
211	0.0806155352
212	0.08041950736
213	0.08025893926
214	0.08010726545
215	0.07998313832
216	0.07982558943
217	0.07961452856
218	0.07946342853
219	0.07930056253
220	0.07916226023
221	0.07898613785
222	0.0787257523
223	0.07846210931
224	0.07831328054
225	0.07810790184
226	0.07788614962
227	0.0776305148
228	0.07745949164
229	0.07728577733
230	0.07696042584
231	0.076792983
232	0.07650725545
233	0.07638081006
234	0.0761675059
235	0.07588254828
236	0.07570155597
237	0.07553132575
238	0.07532421567
239	0.07497138247
240	0.07479981956
241	0.07452638587
242	0.07425473303
243	0.07402858995
244	0.07383214548
245	0.07363680145
246	0.07338068594
247	0.07320585013
248	0.07306503542
249	0.07296334109
250	0.07281177004
251	0.07262114737
252	0.07243773228
253	0.07232933582
254	0.07213969396
255	0.07197419645
256	0.07180022962
257	0.07166975878
258	0.07139524071
259	0.07127014164
260	0.07109666115
261	0.07094951477
262	0.07087273884
263	0.07066206396
264	0.0705363462
